username,player_id,timestamp,is_closed,is_former
kuharigor1959,48201400,1657226763,False,False
kuk143,30367086,1650521088,False,False
kwa1,29871670,1605106623,False,False
lakesidefence,34553428,1543925025,False,False
lamont2000,16844866,0,0,1
lanceval,86702020,1651324882,0,1
lardonio,15593106,1656024973,False,False
latecafe,53023252,0,0,1
lazarus599,126489620,1615916033,1,0
lazarus80,61614006,1575816757,False,False
lbjon,28636431,1550850680,False,False
ldnovice,36052648,1499537971,False,False
lears50,4858095,1421837638,False,False
leercb,33279755,0,0,1
leestrapp,12871260,0,0,1
leflaneurbreton,97222946,1653934573,False,False
lefleurdeny,119321502,0,0,1
legochessmastery,86777258,1614944026,False,False
leko7,89086080,1658242768,False,False
leoschmoll,49299088,1606096669,False,False
limeyjoe,12459058,1401735810,False,False
lincoln_imp,111708366,1637502905,False,False
ling1234,3663571,1483410405,False,False
lisan99,37027244,1537135067,False,False
littlemanpaul,149802675,1655131146,False,False
littlemarshmallow,41235904,1535144513,False,False
littlepuffling,111423538,1647882169,False,False
lizles21,6914781,1401499100,False,False
ll2308,4256582,1463731089,False,False
london717,4321741,1365316784,False,False
lord_edmund,166902511,1650998824,0,1
lord_leon,51454028,1657563097,False,False
lornejustise,40947694,1526908536,False,False
lostapiece,18384,1385154885,False,False
lostredoubt,23209486,1437848609,False,False
lucidlyall,23280766,1595177752,False,False
luckylucy1,136280374,1636012775,False,False
luke_one,25103562,1543317383,False,False
lulu8117,58710040,1565799130,False,False
maanas261558,165674085,1658129505,False,False
mackoym,23887890,1548382784,False,False
madanselili,129975070,0,0,1
madknightg8,157130307,1650553036,False,False
madmonch,56234660,1658065289,False,False
malcolm1957,4901793,1420396736,False,False
malcolmfancy,6456624,1375779298,False,False
mansourmesdaghi,127091746,1658672717,False,False
manuchehr,4273619,1547033233,False,False
maratgb,41893700,1652101382,False,False
marianneolsen,57007030,1654059094,False,False
mariusm1983,127525640,1655184839,False,False
mark_elston,2262159,1379175732,False,False
markbol,42046672,1653702680,False,False
markgaryjones,2288008,1380563298,False,False
markovitez,75015108,1604242294,False,False
marrover9,10321504,1449024368,False,False
martinkojo,104293614,0,0,1
martinsketchley,360531,0,0,1
matein8,2244399,1375123007,0,1
matt_the_shield,6250719,1490911292,False,False
matthew1246,5769797,1572505962,False,False
matthiask24,27068794,1610656137,False,False
maytin2,21820746,1433894273,False,False
mazdadon,10808036,1553961062,False,False
mc2310,15325966,1460202728,False,False
mdoug,5898079,1372685501,1,0
medeja1972,24400876,1504773326,False,False
megadeal46,24019358,1473771653,False,False
meninkain,16156762,1656824144,False,False
mentalhurricane,109084240,1653647978,0,1
mercedonyus,107416724,1651096522,False,False
mgplott7,7355007,0,0,1
micah-r,137413078,1653934603,False,False
michael85w,25609568,1610735884,False,False
mickyblue13,6470746,0,0,1
minadobs,30428354,1658741771,False,False
minerva53,13736176,1383333794,False,False
miniman2804,6636319,1494321030,False,False
